,행사명,개최장소,시작일자,종료일자,행사내용,홈페이지주소,전화번호,주관기관,주최기관,도로명주소,지번주소,위도,경도
754,휴애리 동백 축제,휴애리,2021-11-12,2021-12-31,2021 휴애리 동백축제는 서귀포시 남원읍 신례리에 위치한 휴애리의 대표 겨울축제이다.,http://www.hueree.com/index.php,064-732-2114,휴애리,휴애리,제주특별자치도 서귀포시 남원읍 신례동로 256,-,33.30853475,126.6343808
755,제15회 영양산나물축제,영양군청 일원,2019-05-02,2019-05-05,"판매, 체험, 공연, 부대행사",yftf.kr,054-680-6411,(재)영양축제관광재단,영양군,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.6673577350,129.1126843895
756,2020 영양고추 H.O.T Festival,서울광장,2019-08-27,2019-08-29,"판매, 체험, 공연, 부대행사",영양군청홈페이지 주소,054-680-6571,영양군,영양군,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284
757,석촌호수벚꽃축제,석촌호수 일대,2021-04-02,2021-04-11,개막식 벚꽃음악회 벚꽃버스킹 벚꽃조명길 포토존 벚꽃 온라인 체험 등,https://www.songpa.go.kr/culture/detailInfo.do?key=3794&resrceCd=CT0155-1000031&,02-2147-2800,서울특별시 송파구,서울특별시 송파구,서울특별시 송파구 석촌호수로 197,서울특별시 송파구 잠실동 47,37.5066934,127.0989034
758,한성백제문화제,올림픽공원 일대,2021-09-29,2021-10-03,역사문화거리행렬 한성백제체험마을 한성백제갈라퍼레이드 개폐막식 등 축하공연 한성백제 성곽돌기 각종 체험행사 등,https://www.songpa.go.kr/hanseong/index.do?,02-2147-2800,한성백제문화제추진위원회,서울특별시 송파구,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.52034114,127.1155184
759,향촌동수제화골목 2018년「빨간구두 이야기」,향촌동수제화골목 일원,2018-10-13,2018-10-14,"무대행사, 체험행사, 부대행사 등",-,053-661-2046,대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 15-2,35.8728473,128.591844
760,김광석추모콘서트,김광석길야외콘서트홀,2019-01-06,2019-01-06,초청가수콘서트,-,053-661-2173,대봉문화마을협의회,대봉문화마을협의회,대구광역시 중구 동덕로8길34-20,대구광역시 중구 대봉동 6-5,-,-
761,2019 대구약령시한방문화축제,약령시(약전골목) 일원,2019-05-02,2019-05-06,"경연, 참여, 체험, 전시, 공연, 먹거리 등",-,053-661-2178,(사)약령시보존위원회,대구광역시+대구광역시 중구,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466
762,대구 문화재 야행,"약령시, 청라언덕",2019-08-23,2019-08-24,"문화(재)시설 오픈하우스, 전시, 공연, 체험, 강좌, 투어 등",-,053-661-2181,대구광역시 중구,대구광역시 중구,대구광역시 중구 달구벌대로 415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085
763,향촌동수제화골목 2019년「빨간구두 이야기」,향촌동수제화골목 일원,2019-10-19,2019-10-20,"무대행사, 체험행사, 부대행사 등",-,053-661-2046,대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 14-1,35.8728473,128.591844
764,제8회 김광석노래부르기,김광석길야외콘서트홀,2020-10-31,2020-10-31,"전국 규모 김광석 노래경연 대회 개최, 유튜브 라이브 중계",-,053-661-2174,대구문화방송㈜,대구광역시 중구,대구광역시 중구 동덕로8길34-20,대구광역시 중구 대봉동 6-5,-,-
765,제31회 동성로축제,동성로 야외무대,2020-10-23,2020-10-25,"비대면 온라인 축제 개최,  동성로가요제_댄스대회_먹방대회_패션쇼외 SNS이벤트(부르GO, 춤추GO, 먹GO,입GO 4가지 대회로 구성), 축제기간 동성로 일원 4곳  LED전광판 축제영상 송출",-,053-661-2174,사)달성문화선양회,사)달성문화선양회,대구광역시 중구 동성로28,대구광역시 중구 동성로2가 165-1,-,-
766,제28회 봉산미술제,봉산문화거리,2020-10-09,2020-10-11,"도슨트아트투어(봉산문화거리 화랑 투어), 온라인 VR전시, 온라인 미술작품경매, 코로나19 주제의 어린이 작품 온라인 전시 등",-,053-661-2174,봉산문화협회,봉산문화협회,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965647
767,2020 대구 문화재 야행,"약령시, 청라언덕",2020-09-25,2020-09-26,"청사초롱 야경 투어, 전시행사 및 포토존 운영, 공연 무관중 사전녹화 영상 등 송출",-,053-661-2195,대구광역시 중구,대구광역시 중구,대구광역시 중구 달구벌대로 415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085
768,김광석길페스티벌,김광석길 일원(김광석길야외콘서트홀),2020-11-07,2020-11-08,"대구레코드 페어, 김광석 노래 편곡 오케스트라 공연, 버스킹, 유튜브 라이브중계",-,053-661-2174,방천문화예술협회,방천문화예술협회,대구광역시 중구 동덕로8길 34-20,대구광역시 중구 대봉동 6-5,-,-
769,향촌동수제화골목 2020년「빨간구두 이야기」,향촌동수제화골목 일원,2020-10-31,2020-11-01,"비대면 온라인 축제 개최, 수제화패션쇼, 행운권 추첨 등",-,053-661-2046,대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구 서성로14길 78,대구광역시 중구 향촌동 42-2,35.8728473,128.591844
770,대구패션주얼리위크,대구 주얼리 특구,2020-10-30,2020-10-31,"비대면 온라인 축제 개최,  주얼리패션쇼, 주얼리경매, 주얼리모델선발대회, 주얼리체험 등",-,053-661-2046,대구패션주얼리위크 조직위원회,대구패션주얼리특구상인회,대구광역시 중구 경상감영길 176,대구광역시 중구 동문동 38-6,35.87177744,128.5966863
771,마노르블랑 수국축제,마노르블랑,2021-05-01,2021-09-30,수국축제의 향연. 전세계 30여종 7천여본 수국들을 만나다,https://manorblanc.modoo.at/,064-794-0999,마노르블랑,마노르블랑,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,-,33.25482364,126.2949866
772,해녀마켓 - 해녀와 함께하는 온/오프라인 프리마켓,법환동 해녀물질체험장,2021-05-08,2021-07-24,5월부터 매주 토요일. 윤슬이 찬란하게 빛나는 법환 바다 앞 물질체험장에서 토요 문화장터 해녀마켓이 열린다.,-,064-900-4053,㈜헤쎄드커뮤니케이션즈,㈜헤쎄드커뮤니케이션즈,제주특별자치도 서귀포시 법환동 169-5,-,33.2333792,126.5128503
773,2021 제주카페스타,제주국제컨벤션센터,2021-06-03,2021-06-06,제주 유일의 카페박람회 - 제주카페스타는 올해로 5회차를 맞이한 카페박람회로 제주 카페 산업과 문화. 최근 트렌드까지 한 눈에 볼 수 있다.,https://www.jejucafeshow.com/,064-711-1002,(주)숨비페어스,(주)숨비페어스,제주특별자치도 서귀포시 중문관광로 224,-,33.24128964,126.4244429
774,2021 제주해녀축제,해녀박물관,2021-09-17,2021-09-19,해녀 디지털 화보전시.해녀 레시피.숨비소리길 VR.해녀체험 브이로그,http://www.jeju.go.kr/haenyeo/index.htm,064-782-9898,해녀박물관,해녀박물관,제주특별자치도 제주시 구좌읍 해녀박물관길 26,-,33.52360988,126.8634256
775,탐라문화제,제주특별자치도 일원,2021-10-06,2021-10-10,탐라인의 삶.제주문화 중흥,http://www.tamnafestival.kr/,064-753-3287,제60회 탐라문화제추진위원회,제주특별자치도+사단법인 한국예총제주특별자치도연합회,-,제주특별자치도 제주시 일도1동 1146-22,33.5132895,126.5280239
776,제15회 차성문화제,기장중학교 일원,2019-10-12,2019-10-13,"전통문화체험, 차성가 연극 및 공연, 차성가 콘서트 등",http://www.gijang.go.kr/tour/index.gijang,051-709-4062,차성문화제추진위원회,차성문화제추진위원회,부산광역시 기장군 기장읍 읍내로 120,부산광역시 기장군 기장읍 대라리 40,35.2448828028,129.2183134038
777,은행나무길 축제,곡교천 은행나무길,2019-10-24,2019-10-27,"공연, 프리마켓, 거리공연",http://culture.asan.go.kr/_ginko/,041-540-2550,(재)아산문화재단,충청남도 아산시,-,충청남도 아산시 염치읍 백암리 502-3,-,-
778,안산사이언스밸리(ASV) 과학축제,한양대 ERICA,2018-10-20,2018-10-21,"과학기술체험 부스 운영, 드론페스티벌 등",-,031-481-3517,"경기TP, 안산청소년수련관, 한양대 ERICA",안산시,경기도 안산시 상록구 한양대학로 55,경기도 안산시 상록구 사동 1271,37.298004,126.834393
779,제11주년 세계인의 날 기념행사,안산화랑유원지,2018-11-04,2018-11-04,"기념식, 문화 및 각종 부대행사",-,031-481-3298,안산시,안산시,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,37.325674,126.813771
780,강진청자축제,청자촌 일원,2021-10-01,2021-10-07,가을축제에 따른 다이내믹하고 흥이 넘치는 청자촌 분위기 조성과 향우와 구민이 함께 어우러지는 문화체육관광부 선정 우수축제,http://www.gangjin.go.kr/culture/,061-430-3352,강진군향토축제추진위원회,강진군,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,34.50866041,126.8008375
781,강진만 춤추는 갈대축제,강진만 생태공원 일원,2021-10-29,2021-11-07,가을의 정취와 추억을 체험하는 남도답사 1번지 이미지 창출과 갈대·음악·자연을 대표하는 명품 축제,http://www.gangjin.go.kr/culture/,061-430-3354,강진군 향토축제추진위원회,강진군,전라남도 강진군 강진읍 남당로 97-23,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317
782,9.81파크; X리그 2021 정규시즌,9.81파크,2021-03-01,2021-11-07,천혜의 제주 풍경을 감상하며 중력가속도만으로 스피드를 즐기는 다운힐(down-hill)레이싱,https://www.981park.com/,1899-9810,9.81파크,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,-,33.39003694,126.366509
783,휴애리 수국 축제,휴애리,2021-04-01,2021-08-31,오색빛깔 아름다운 수국축제,http://www.hueree.com/index.php,064-732-2114,휴애리,휴애리,제주특별자치도 서귀포시 남원읍 신례동로 256,-,33.30853475,126.6343808
784,금천하모니축제 2021,금천구청 광장 일대,2021-11-03,2021-11-07,워크스루형 대형 기획 전시,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,02-2627-1442,금천문화재단,서울특별시 금천구청+금천문화재단,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706565,126.8960369
785,제천국제음악영화제,"시내일원, 의림지",2022-08-12,2022-08-17,음악영화제,http://www.jimff.org,043-646-2242,제천국제음악영화제집행위원회,제천국제음악영화제집행위원회,충청북도 제천시 의림대로12길 14-1,충청북도 제천시 청전동 110,37.1493417,128.2160865
786,제천의병제,자양영당 등,2022-10-15,2022-10-16,의병제,http://www.jecheoncc.or.kr,043-642-3646,제천문화원,제천문화원,충청북도 제천시 의림대로 125,충청북도 제천시 중앙로2가 26-1,37.13923321,128.210774
787,겨울왕국 제천페스티벌,시내 및 의림지 일원,2022-12-24,2023-01-23,겨울벚꽃 및 얼음 축제,http://www.jccf.or.kr,043-641-4870,(재)제천문화재단,(재)제천문화재단,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 110,37.1493417,128.2160865
788,대전효문화뿌리축제,뿌리공원 및 원도심 일원,2021-09-01,2021-10-10,"생생과 화합의 만복장터, 온라인 공연, 체험, 이벤트 등",https://www.djjunggu.go.kr/hyo-ppuri/index.do,042-606-6292,대전효문화뿌리축제추진위원회,대전광역시 중구,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931
789,영천보현산별빛축제,보현산천문과학관 일원,2021-10-08,2021-10-10,"천문, 우주, 과학 관련 온오프라인 콘텐츠 운영, 천문학 강의, 스타파티, 각종 참여 프로그램 등",https://www.yc.go.kr/toursub/star/,054-330-6702,영천보현산별빛축제위원회,영천보현산별빛축제위원회,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,36.1402561,128.9964736
790,선사문화체험축제,한샘청동공원,2022-10-07,2022-10-08,선사테마축제 및 체험프로그램 운영 등,http://artko16.netto.kr/,053-667-2194,달서구문화원,달서구문화원,대구광역시 달서구 월암로 23,대구광역시 달서구 대천동 353-5,35.82034773,128.5192255
791,제2회 북성로 축제,북성로 공구골목 일원,2018-10-20,2018-10-21,"부스프로그램, 북성로 공업소 투어, 오픈 스튜디오(작가 공방 오픈), 거리전시 및 공연",-,053-661-2173,훌라,대구광역시 중구,대구광역시 중구 북성로104,대구광역시 중구 북성로1가 96-2,35.87433558,128.5936894
792,정서진 해넘이 축제,인천 서구 정서진,2020-12-31,2020-12-31,"일몰이벤트, 축하공연",http://www.seo.incheon.kr/,032-560-5933,인천광역시 서구문화원,인천광역시 서구,인천광역시 서구 정서진1로 41,인천광역시 서구 오류동 1563,37.5584360318,126.6074643744
793,천을산 해맞이,천을산 정상,2023-01-01,2023-01-01,"새해메세지, 대북타고, 해오름 함성 등",http://suseong.kr,053-666-2163,(재)수성문화재단,대구광역시 수성구,-,대구광역시 수성구 가천동 산11-3,35.85169239,128.6950183
794,상화문학제,수성못 상화동산,2022-05-13,2022-05-15,"백일장 공모, 시낭송대회, 문학강연, 문학공연, 상화문학답사",http://www.suseong.or.kr,053-768-0002,수성문화원,수성문화원,대구광역시 수성구 들안로16길 78,대구광역시 수성구 두산동 30,35.839227,128.618141
795,2021 군산시간여행축제,구시청광장 및 시간여행마을 일원,2021-09-01,2021-10-31,근대문화축제,http://festival.gunsan.go.kr/,063-454-3302,군산시간여행축제추진위원회,군산시,전라북도 군산시 중앙로 178,전라북도 군산시 중앙로1가 11-1,35.98772627,126.711725
796,강릉단오제,강릉시 남대천 단오장 및 지정행사장,2022-05-30,2022-06-06,"문화재행사, 단오TV, 전시, 시민참여행사, 단오유스페스티벌, 온라인 챌린지 행사 등",http://www.danojefestival.or.kr,033-641-1593,(사)강릉단오제위원회(사)강릉단오제보존회 외,"(사)강릉단오제위원회,(사)강릉단오제보존회",강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714
797,제23회 정동진독립영화제,정동초등학교 운동장,2021-09-23,2021-09-26,야외 독립영화제(슬로건: 별이 지는 하늘 영화가 뜨는 바다),http://jiff.kr,033-645-7415,제23회 정동진독립영화제 집행위원회,"강릉씨네마떼끄,한국영상자료원",강원도 강릉시 강동면 헌화로 1055,강원도 강릉시 강동면 정동진리 184,37.68735318,129.0336174
798,강릉국제영화제,"강릉대도호부관아, CGV강릉, 독립예술국장 신영 등 강릉시 일원",2021-10-22,2021-10-31,"다채로운 상영작과 프로그램, 시민 참여형 이벤트 등(영화와 문학, 마스터즈 & 뉴커머즈, 프리미어 기프, 클래식 기프, 패밀리 기프)",http://www.giff.kr/ko/,033-641-8079,(사)강릉국제영화제,강릉시,강원도 강릉시 임영로131번길 6 (용강동),강원도 강릉시 용강동 58-1,37.75294455,128.8919029
799,강릉문화재야행,강릉대도호부관아(사적388호),2021-11-11,2021-11-13,역사문화시설 개방 및 전시.체험.공연 프로그램 운영(8가지 밤의 테마와 32개 프로그램),http://gncn.or.kr,033-823-3212,강릉문화원,강릉시,강원도 강릉시 임영로131번길 6 (용강동),강원도 강릉시 용강동 58-1,37.75294455,128.8919029
800,강감찬축제,온라인 개최,2021-10-14,2021-10-17,"강감찬 장군 출병식 및 전승행렬 거리 퍼레이드, 고려마을 테마 체험부스, 강감찬 장군 추모제향 등 다채로운 행사 진행",http://www.gwanak.go.kr/html/gang/sub/sub.html,02-879-5603,관악구,관악구,"서울특별시 관악구 관악로 145, 교육사업과(관악구청)",서울특별시 관악구 봉천동 1570-1,37.47823402,126.9515012
801,풍암골 신암마을 당산제,풍암 제7어린이공원내 (풍암동1129),2022-02-15,2022-02-15,(코로나19로 인한 취소) 민속고유 명절인 대보름을 맞이하여 사라져가는 전통세시풍속인 당산제를 재현하여 지역 주민들의 평안과 발전 및 풍요다산을 기원,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,062-350-4988,광주광역시 서구,미정,-,광주광역시 서구 풍암동 1129,35.12401153,126.8815859
802,서창만드리 풍년제,서구 서창동 한옥문화관 일원,2022-07-25,2022-08-12,"의식행사, 들노래 만드리 재현, 문화예술공연, 전통문화 체험부스 운영 등",https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,062-350-4988,광주광역시 서구,미정,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387
803,영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2022-10-07,2022-10-10,"공식행사, 포토존, 비대면 공연, 온라인전시, 부대행사 등",http://www.sgfesta.co.kr,062-350-4792,광주광역시 서구,광주광역시 서구,광주광역시 서구 서창둑길 377(벽진동),광주광역시 서구 벽진동 505-1,35.13849504,126.828739
804,해맞이 행사,오봉산 등,2022-01-01,2022-01-01,"새해 소원빌기 행사, 새해안녕기원행사,해맞이공연, 먹거리제공 등",-,-,북구청 문화예술과,공모사업,-,대구광역시 북구 구암동 349,35.93240689,128.567486
805,금호강 정월대보름축제,산격대교 하단,2022-02-15,2022-02-15,"달집태우기, 달맞이 행사 등",-,-,북구청 문화예술과,공모사업,-,대구광역시 북구 산격동 1477-1,35.90892344,128.6033802
806,전국청소년댄스페스티벌 꿈을 향한 무승부,의정부시청소년수련관,2022-09-17,2022-09-17,퍼포먼스 댄스경연대회 및 축하공연 등,http://www.uiyouth.or.kr,031-828-9544,의정부시청소년수련관+기호일보,의정부시청소년재단,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
807,의정부시 청소년 진로페스티벌,의정부시청소년수련관,2022-05-23,2022-05-27,"직업인, 대학생 멘토 인터뷰 및 E-sports 대회 뷰티아카데미등",http://www.youthexpo.or.kr,031-828-9558,의정부시청소년수련관,의정부시청소년재단,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
808,의정부 청소년 영화제,의정부시청소년수련관,2022-11-05,2022-11-05,청소년 영화 상영 및 시상식,https://uyff.modoo.at,031-828-9557,의정부시청소년수련관,의정부시청소년재단,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
809,청소년 푸른별 콘서트,의정부시청소년수련관,2022-12-01,2022-12-01,청소년 동아리 공연 및 인기가수 축하공연,http://www.uiyouth.or.kr,031-828-9542,의정부시청소년재단+경인일보,의정부시,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
810,청소년안전망 페스티발,의정부시청소년수련관,2022-05-21,2022-05-21,"기념식, 문화공연, 부스운영, 체험 전시",http://www.uiyouth.or.kr,031-828-9563,의정부시청소년상담복지센터,의정부시청소년재단,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
811,청소년 행복주간 지역마을축제(동부권역),부용천(새말역),2022-05-24,2022-05-24,청소년 유관기관 부스 및 체험 프로그램 운영,http://www.uiyouth.or.kr,031-828-9583,새말청소년문화의집,의정부시청소년재단,경기도 의정부시 장곡로 551,경기도 의정부시 신곡동 815-1,37.7488377,127.0637621
812,청소년 행복주간 지역마을축제,의정부예총,2022-05-25,2022-05-25,"청소년 체험부스, 청소년 공연",http://www.uiyouth.or.kr,031-828-9593,흥선청소년문화의집,흥선청소년문화의집,경기도 의정부시 의정로80번길 18,경기도 의정부시 의정부동 477-1,37.73969683,127.0358325
813,신창동 어울림축제,신창동 공방의 거리,2017-10-28,2017-10-28,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",-,-,신창동 마을축제 추진위원회,광주광역시 광산구 신창동,광주광역시 광산구 왕버들로 291,-,35.1956384,126.840969
814,제2회 하남동 도농공 한울타리 어울림축제,경암근린공원,2017-10-28,2017-10-28,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",-,-,하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,광주광역시 광산구 하남대로54번안길 133,-,35.178175,126.7999659
815,울릉해변가요제,저동항,2020-08-01,2020-08-31,"군민가요제, 불꽃놀이",https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1991&,054-791-4116,(사)울릉청년단,울릉군,-,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438
816,우산문화제,도동항,2020-09-01,2020-10-31,"개막축하행사전통민속놀이, 체험행사 등",https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1988&,054-791-0245,울릉문화원,울릉군,-,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734
817,오징어축제,저동항,2020-06-12,2020-06-14,"오징어 맨손잡기, 요리경연, 뗏목경주등",https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1986&,054-790-6392,울릉군 축제위원회,울릉군,-,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438
818,회당문화재,도동항,2020-07-01,2020-07-02,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 진행(메인)",https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1992&,-,대한불교진각종,대한불교진각종,-,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734
819,민속그네뛰기,사동 자생식물원,2020-06-25,2020-06-25,그네뛰기,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1989&,-,울릉문화원,울릉문화원,경상북도 울릉군 울릉읍 간령길 83-18,-,37.46024044,130.8735494
820,최남단 모슬포 방어축제,모슬포항 일원,2021-11-15,2021-11-30,드라이스루(비대면)및 온라인행사(방어.부시(포장)판매 등),http://bangeofestival.com/,064-794-8032,최남단방어축제위원회,최남단방어축제위원회,제주특별자치도 서귀포시 대정읍 최남단해안로 120,-,33.2100651,126.2583797
821,아트제주 2021,메종 글래드 제주,2021-12-15,2021-11-28,제주 최대 규모의 국제 아트페어 아트제주를 통해 국내외 갤러리가 선별한 현대미술품을 한 자리에서 만나보자.,https://www.artjejukorea.com/,064-738-3366,사)섬아트제주,제주특별자치도,제주특별자치도 제주시 노연로 80,-,33.4856126,126.488913
822,한림공원 국화축제,한림공원 산야초원 內 플라워가든,2021-11-06,2021-11-28,올해 창립50주년이 된 제주 대표 관광지 한림공원이 봄부터 사랑과 정성을 다해 정성껏 가꾸어온 국화 수십만송이의 국화 작품이 어우러져 아름다운 국화 정원을 선보인다.,http://www.hallimpark.com/,064-796-0001,한림공원,한림공원,제주특별자치도 제주시 한림읍 한림로 300,-,33.390213,126.2396912
823,제주허브동산 겨울동백축제,제주허브동산,2021-11-25,2022-01-15,허브동산은 겨울 동백 축제를 위해 풍차 전망대. 애기동백과 함께 사진을 남길 수 있는 Camelia Avenue. 기찻길을 따라 동백이 줄지어 서있는 Camelia Station을 조성했다.,www.herbdongsan.com,064-787-7362,제주허브동산,제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170,-,33.3291241,126.8147261
824,2021 경기인디뮤직페스티벌,백마도 일원,2021-05-28,2021-05-30,인디뮤지션 공연 및 부대행사,-,032-623-8032,경기콘텐츠진흥원,경기도,-,경기도 고촌읍 신곡리 1051,37.609734,126.785629
825,제주국제관악제,제주아트센터. 세계자동차&피아노박물관,2021-12-03,2021-12-07,제주의 겨울 그리고 금빛나팔소리 제주국제관악제 겨울,http://www.jiwef.org/intro/index.php,064-710-3495,제주국제관악제 조직위원회,제주국제관악제 조직위원회,제주특별자치도 제주시 동광로 69,-,33.5044361,126.5351724
826,주안미디어문화축제,옛시민회관 쉼터 등 미추홀구 전역,2023-01-01,2023-12-31,미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램,https://www.michuhol.go.kr/culture/main.do,032-880-7978,인천광역시 미추홀구,인천광역시 미추홀구,-,인천광역시 미추홀구 주안동 190-4,37.4588336,126.6796135
827,별밤포차,상주은모래비치,2022-04-01,2022-12-31,별밤포차4개소운영 및 공연,http://tour.namhae.go.kr/main.web,055-860-8603,상주번영회,경상남도 남해군,경상남도 남해군 상주면 상주로 10-3,경상남도 남해군 상주면 상주리 1136-1,34.7222114298,127.9874444630
828,고현 관음포 둑방길 봄꽃축제,고현면 일원,2022-04-01,2022-04-30,"봄꽃 관람, 특산물 판매 및 홍보 부스 운영",http://tour.namhae.go.kr/main.web,055-860-8603,고현둑방공원마을공동체,경상남도 남해군,-,경상남도 남해군 고현면 포상리 986-5,34.8979403331,127.8685968241
829,창선고사리 삼합축제,창선면 일원,2022-05-01,2022-05-30,먹거리 및 지역특산물 판매 운영,http://tour.namhae.go.kr/main.web,055-860-8603,창선고사리삼합축제추진위원회,경상남도 남해군,-,경상남도 남해군 창선면 상죽리 10-18,34.86151038,128.0172216
830,보물섬 남해 커피축제,남해읍 일원,2022-05-01,2022-05-30,"로스팅, 핸드드립 등 체험행사",http://tour.namhae.go.kr/main.web,055-860-8603,보물섬바리스타협의회,경상남도 남해군,경상남도 남해군 남해읍 화전로 83,경상남도 남해군 남해읍 북변리 157,34.8387158782,127.8938765987
831,여주도자기축제,여주 프리미엄아울렛 EAST광장 일원,2022-04-08,2022-04-17,"도자기 전시 및 판매, 소공연",www.yjcf.or.kr,031-881-9693,여주세종문화재단,여주시,경기도 여주시 명품로 360,경기도 여주시 상거동 460,-,-
832,달맞이축제,울릉예술문화체험장(구.장흥초등학교),2020-02-08,2020-02-08,달집태우기,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1994&,-,정월대보름 장흥달맞이 놀이마당추진위원회,정월대보름 장흥달맞이 놀이마당추진위원회,경상북도 울릉군 울릉읍 옥천길 8,-,37.47367561,130.8875026
833,태하성하신당제,서면 태하 성하신당,2020-03-24,2020-03-24,기원행사,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1990&,-,울릉문화원,울릉문화원,경상북도 울릉군 서면 태하길 154,-,37.51222566,130.800884
834,농악대축제,시민운동장,2016-10-22,2016-10-23,농악행사,-,02-899-1664,농악보존회,광명시,경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551
835,농악대축제,시민운동장,2015-10-17,2015-10-18,농악행사,-,02-899-1664,농악보존회,광명시,경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551
836,구름산예술제,시민회관,2015-10-17,2015-10-18,예술전시및행사,-,02-2680-6871,예총,광명시,경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646268
837,제14회 광명시평생학습축제,광명시 전역,2015-09-07,2015-09-20,학술 컨퍼런스 외,http://lll.gm.go.kr/site/festival,02-2680-6200,광명시평생학습네트워크협의체,광명시,"경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)",경기도 광명시 철산동 419,37.4743772,126.8684796
838,제2회 밤일음식문화 거리 축제,밤일음식문화거리 내,2016-06-10,2016-06-10,"음식점할인행사, 무료시식, 노래자랑, 초대공연 등",-,02-2680-5484,밤일음식문화거리 상가번영회,광명시,경기도 광명시 밤일안로 일대,경기도 광명시 밤일안로 일대,37.453842,126.860748
839,구름산예술제,시민회관,2016-10-22,2016-10-23,예술전시및행사,-,02-2680-6871,예총,광명시,경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646269
840,제16회 광명시평생학습축제,광명시 전역,2017-09-09,2017-09-23,학술 컨퍼런스 외,http://lll.gm.go.kr/site/festival,02-2680-6200,광명시평생학습네트워크협의체,광명시,경기도 광명시 오리로854번길 10,경기도 광명시 철산3동419,37.474331,126.868457
841,제26회 오리문화제,광명시민체육관,2017-05-18,2017-05-20,"오리이원익 영우참배/헌화식, 전시,체험마당, 먹거리장터, 학술행사 등",www.gmcc.or.kr/,02-2680-6223,광명문화원,광명시,경기도 광명시 밤일안로,경기도 광명시 철망산로 42,37.463301,126.870701
842,구름산예술제,시민회관,2017-09-23,2017-09-24,예술전시및행사,-,02-2680-6871,예총,광명시,경기도 광명시 시청로 20,경기도 광명시 철산2동222-1 광명시민회관,37.4790975,126.8648458
